code,Age,Sexe,problèmes de santé,le travail à la maison,préscolaire,Travail,Interne / Externe,Qualification de la mère, Qualification Du père,Profession de la mère,Profession du père,Divorcé,Mort,aide aux devoirs,Specialté,Nombre de répitition,Score primaire,Score collégial,Score actuel,score en mathématiques,score en langue arabe,score en première langue,Public / Privé,Zone,Nombre d'enseignants,Electricité,Eau,pc,Livres,État civil,motivation,Style d'apprentissage,Status
1,19/1/2010,F,psychique,Oui,Non,Non,Interne ,Non,Oui,sans profession,Fqih,Non,Non,Non,collège,0,8.75,16.41,16.41,17,16,15.34,Public,rurale,21,Oui,Oui,Non,Oui,célibataire,Oui,Normal,Abandonné
2,19/11/2004,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Oui,collège,2,6.45,4.75,4.75,5,7,6,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Abandonné
3,9/1/2008,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,2,6.3,8.8,0,0,0,0,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Abandonné
4,22/11/2008,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,5.23,2.71,0,0,0,0,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Abandonné
5,24/1/2007,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,6.33,8.19,0,0,0,0,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Abandonné
6,15/8/2008,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Commerce,Non,Non,Non,collège,1,5.54,6.65,0,0,0,0,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Abandonné
7,8/6/2008,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,6.03,6.5,6.5,0,6.44,7.3,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
8,15/11/2005,F,Oui,Oui,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,2,5.95,6.31,6.31,5.33,4.75,4.72,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Oui,Normal,Abandonné
9,9/12/2008,M,Non,Non,Non,Non,Interne,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,6.21,7.02,7.02,6.83,7.06,4.1,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
10,16/7/2009,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,5.22,7.9,7.9,3.67,9.12,5.7,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
11,18/5/2007,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,3,7.1,6.42,6.42,8.67,2.5,2.6,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
12,5/1/2005,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,2,6.16,9.14,9.14,6.33,9.13,8.7,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Oui,Normal,Distrait
13,1/8/2005,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,5.85,9.67,9.67,10.67,8.66,9.6,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
14,18/3/2007,M,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,2,7.32,9.4,9.4,8.67,8.84,8.9,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Non,Normal,Distrait
15,22/1/2010,F,Non,Non,Non,Non,Externe,Non,Non,sans profession,Agriculture,Non,Non,Non,collège,1,5.86,9.3,9.3,9.33,9.75,7.95,public,rurale,21,Oui,Oui,Non,Oui,célibataire,Oui,Normal,Distrait
